法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,平成六年自治省令第十七号,地方財政法第三十三条第二項第一号及び第二号の額の算定に関する省令,ちほうざいせいほうだいさんじゅうさんじょうだいにこうだいいちごうおよびだいにごうのがくのさんていにかんするしょうれい,,平成六年三月三十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,406M50000008017,https://elaws.e-gov.go.jp/document?lawid=406M50000008017_20161001_000000000000000,,
府省令,平成六年自治省令第四十八号,平成六年度における地方財政法第三十三条の二第二項の額の算定に関する省令,へいせいろくねんどにおけるちほうざいせいほうだいさんじゅうさんじょうのにだいにこうのがくのさんていにかんするしょうれい,,平成六年十二月十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,406M50000008048,https://elaws.e-gov.go.jp/document?lawid=406M50000008048_20161001_000000000000000,,
府省令,平成七年自治省令第二十三号,平成七年度における地方財政法第三十三条の二第二項の額の算定に関する省令,へいせいななねんどにおけるちほうざいせいほうだいさんじゅうさんじょうのにだいにこうのがくのさんていにかんするしょうれい,,平成七年七月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,407M50000008023,https://elaws.e-gov.go.jp/document?lawid=407M50000008023_20161001_000000000000000,,
府省令,平成八年自治省令第二十六号,平成八年度における地方財政法第三十三条の二第二項の額の算定に関する省令,へいせいはちねんどにおけるちほうざいせいほうだいさんじゅうさんじょうのにだいにこうのがくのさんていにかんするしょうれい,,平成八年七月二十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,408M50000008026,https://elaws.e-gov.go.jp/document?lawid=408M50000008026_20161001_000000000000000,,
府省令,平成八年自治省令第二十七号,地方財政法第三十三条の三第二項の額の算定に関する省令,ちほうざいせいほうだいさんじゅうさんじょうのさんだいにこうのがくのさんていにかんするしょうれい,,平成八年七月二十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,408M50000008027,https://elaws.e-gov.go.jp/document?lawid=408M50000008027_20161001_000000000000000,,
府省令,平成九年自治省令第十五号,地方財政法第三十三条の四第二項の額の算定に関する省令,ちほうざいせいほうだいさんじゅうさんじょうのしだいにこうのがくのさんていにかんするしょうれい,,平成九年三月二十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,409M50000008015,https://elaws.e-gov.go.jp/document?lawid=409M50000008015_20161001_000000000000000,,
府省令,平成二十八年総務省令第五十五号,地方団体に対して交付すべき平成二十八年度分の震災復興特別交付税の額の算定方法、決定時期及び決定額並びに交付時期及び交付額等の特例に関する省令,ちほうだんたいにたいしてこうふすべきへいせいにじゅうはちねんどぶんのしんさいふっこうとくべつこうふぜいのがくのさんていほうほうけっていじきおよびけっていがくならびにこうふじきおよびこうふがくとうのとくれいにかんするしょうれい,,平成二十八年四月二十八日,平成２９年４月１日（基準日）現在のデータ,,平成二十九年四月一日,,,428M60000008055,https://elaws.e-gov.go.jp/document?lawid=428M60000008055_20170401_999M60000008055,,
政令,平成三十一年政令第八十九号,特別法人事業税及び特別法人事業譲与税に関する法律施行令,とくべつほうじんじぎょうぜいおよびとくべつほうじんじぎょうじょうよぜいにかんするほうりつせこうれい,,平成三十一年三月二十九日,地方税法等の一部を改正する法律の一部の施行に伴う関係政令の整備等に関する政令,平成三十年政令第百二十六号,平成三十年三月三十一日,令和二年四月一日,,431CO0000000089,https://elaws.e-gov.go.jp/document?lawid=431CO0000000089_20200401_430CO0000000126,,
政令,平成三十一年政令第八十九号,特別法人事業税及び特別法人事業譲与税に関する法律施行令,とくべつほうじんじぎょうぜいおよびとくべつほうじんじぎょうじょうよぜいにかんするほうりつせこうれい,,平成三十一年三月二十九日,地方税法施行令の一部を改正する政令,令和二年政令第百九号,令和二年三月三十一日,令和三年十月一日,,431CO0000000089,https://elaws.e-gov.go.jp/document?lawid=431CO0000000089_20211001_502CO0000000109,○,
政令,平成三十一年政令第八十九号,特別法人事業税及び特別法人事業譲与税に関する法律施行令,とくべつほうじんじぎょうぜいおよびとくべつほうじんじぎょうじょうよぜいにかんするほうりつせこうれい,,平成三十一年三月二十九日,地方税法施行令の一部を改正する政令,令和二年政令第二百六十四号,令和二年九月四日,令和四年四月一日,,431CO0000000089,https://elaws.e-gov.go.jp/document?lawid=431CO0000000089_20220401_502CO0000000264,○,○
法律,平成三十一年法律第四号,特別法人事業税及び特別法人事業譲与税に関する法律,とくべつほうじんじぎょうぜいおよびとくべつほうじんじぎょうじょうよぜいにかんするほうりつ,,平成三十一年三月二十九日,地方税法等の一部を改正する法律,令和二年法律第五号,令和二年三月三十一日,令和三年一月一日,,431AC0000000004,https://elaws.e-gov.go.jp/document?lawid=431AC0000000004_20210101_502AC0000000005,,
法律,平成三十一年法律第四号,特別法人事業税及び特別法人事業譲与税に関する法律,とくべつほうじんじぎょうぜいおよびとくべつほうじんじぎょうじょうよぜいにかんするほうりつ,,平成三十一年三月二十九日,地方税法等の一部を改正する法律,令和二年法律第五号,令和二年三月三十一日,令和四年四月一日,,431AC0000000004,https://elaws.e-gov.go.jp/document?lawid=431AC0000000004_20220401_502AC0000000005,○,
府省令,平成十年自治省令第二十八号,地方財政法第三十三条の五第二項第一号イ及びロ並びに第二号の額の算定に関する省令,ちほうざいせいほうだいさんじゅうさんじょうのごだいにこうだいいちごうイおよびロならびにだいにごうのがくのさんていにかんするしょうれい,,平成十年五月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,410M50000008028,https://elaws.e-gov.go.jp/document?lawid=410M50000008028_20161001_000000000000000,,
政令,平成十一年政令第六十五号,当せん金付証票法第六条第一項の金融機関を定める政令,とうせんきんつきしょうひょうほうだいろくじょうだいいっこうのきんゆうきかんをさだめるせいれい,,平成十一年三月二十五日,平成２７年８月１日（基準日）現在のデータ,,,,,411CO0000000065,https://elaws.e-gov.go.jp/document?lawid=411CO0000000065_20150801_000000000000000,,
府省令,平成十一年自治省令第十五号,地方特例交付金に関する省令,ちほうとくれいこうふきんにかんするしょうれい,,平成十一年三月三十一日,地方特例交付金に関する省令の一部を改正する省令,平成三十年総務省令第四十七号,平成三十年七月二十四日,平成三十年七月二十四日,,411M50000008015,https://elaws.e-gov.go.jp/document?lawid=411M50000008015_20180724_430M60000008047,,
政令,平成十一年政令第九十五号,地方特例交付金等の地方財政の特別措置に関する法律施行令,ちほうとくれいこうふきんとうのちほうざいせいのとくべつそちにかんするほうりつせこうれい,,平成十一年三月三十一日,地方公務員法及び地方自治法の一部を改正する法律の施行に伴う関係政令の整備に関する政令,令和二年政令第六十一号,令和二年三月二十七日,令和二年四月一日,,411CO0000000095,https://elaws.e-gov.go.jp/document?lawid=411CO0000000095_20200401_502CO0000000061,,
府省令,平成三十一年総務省令第四十一号,特別法人事業税及び特別法人事業譲与税に関する法律施行規則,とくべつほうじんじぎょうぜいおよびとくべつほうじんじぎょうじょうよぜいにかんするほうりつせこうきそく,,平成三十一年三月二十九日,,,,令和元年十月一日,,431M60000008041,https://elaws.e-gov.go.jp/document?lawid=431M60000008041_20191001_000000000000000,,
政令,平成十二年政令第十六号,地方公共団体の手数料の標準に関する政令,ちほうこうきょうだんたいのてすうりょうのひょうじゅんにかんするせいれい,,平成十二年一月二十一日,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律の一部の施行に伴う関係政令の整備及び経過措置に関する政令,令和二年政令第四十号,令和二年三月十一日,令和二年四月一日,,412CO0000000016,https://elaws.e-gov.go.jp/document?lawid=412CO0000000016_20200401_502CO0000000040,,
府省令,平成十二年自治省令第五号,地方公共団体の手数料の標準に関する政令に規定する総務省令で定める金額等を定める省令,ちほうこうきょうだんたいのてすうりょうのひょうじゅんにかんするせいれいにきていするそうむしょうれいでさだめるきんがくとうをさだめるしょうれい,,平成十二年二月四日,平成２８年１０月１日（基準日）現在のデータ,,,,,412M50000008005,https://elaws.e-gov.go.jp/document?lawid=412M50000008005_20161001_000000000000000,,
府省令,平成十三年総務省令第百九号,地方財政法第三十三条の五の二第一項の額の算定方法を定める省令,ちほうざいせいほうだいさんじゅうさんじょうのごのにだいいっこうのがくのさんていほうほうをさだめるしょうれい,,平成十三年七月三十一日,地方財政法第三十三条の五の二第一項の額の算定方法を定める省令の一部を改正する省令,平成三十年総務省令第四十八号,平成三十年七月二十四日,平成三十年七月二十四日,,413M60000008109,https://elaws.e-gov.go.jp/document?lawid=413M60000008109_20180724_430M60000008048,,
府省令,平成十四年経済産業省令第九十七号,自転車競技法施行規則の全部を改正する省令,じてんしゃきょうぎほうせこうきそく,,平成十四年九月十三日,自転車競技法施行規則の一部を改正する省令,平成三十年経済産業省令第五十号,平成三十年八月九日,平成三十年九月二十七日,,414M60000400097,https://elaws.e-gov.go.jp/document?lawid=414M60000400097_20180927_430M60000400050,,
